id;titulo;categoria;dificuldade;tempo_total;calorias;rating;ingredientes;passos;criterios;imagem
1;Creme de abóbora;Entrada;Médio;40 min;240 Kcal;4.49;300 g de abóbora | 2 batatas (médias) | 200 ml de natas / creme de leite | 2 colheres de sopa de óleo de girassol | 1 colher (de café) de pimenta | 1 colher (de café) de sal | 1/2 alho francês (alho-poró);Cortar o alho francês/poró e as batatas. | Cortar a abóbora pela metade e retirar as sementes. Cortar em cubos. | Ligar o lume (médio). Numa pequena panela, cozer o óleo de girassol e o alho francês/poró. Juntar as batatas, a abóbora, sal, pimenta e mexer durante 3 minutos. | Juntar água até que o todo esteja coberto. Colocar a tampa e deixar cozer durante 30 minutos. Para verificar a cozedura dos legumes, pique-os com uma faca. Eles devem estar tenros. | Verter a mistura num liquidificador. Mixe. Junte as natas. Mixe de novo e já está!;Sem glúten | Vegetariano | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/creme-de-abobora--160575p240773.webp
2;Folhado de camembert;Entrada;Muito Fácil;35 min;528 Kcal;4.5;1 queijo Camembert | 1 rolo de massa folhada | 1 maçã | 1 ovo | 2 colher de sopa de mel | Ervas aromáticas (de Provence) | Pimenta;Descasque as maçãs, corte em fatias e coloque no microondas por 1 minuto e 30 segundos. | Corte o queijo pelo meio. | Coloque as fatias da maçã por cima de uma das metades. | Junte o mel, pimenta e ervas de Provence. | Coloque a outra metade do queijo por cima, para fechar. Cubra o todo com papel de alumínio e deixe repousar no frigorífico / geladeira por 15 minutos. | Estenda a massa folhada sobre uma superfície lisa, coloque o queijo no centro. | Cubra o queijo com a massa folhada. | Pincele com ovo e ponha no forno durante 20 minutos a 190ºC. Pronto !;Vegetariano;https://pt.petitchef.com/imgupl/recipe/folhado-de-camembert--445871p689000.webp
3;Guacamole rápido;Entrada;Muito Fácil;10 min;67 Kcal;4.46;2 abacates | 1 limão (juntar a gosto) | 1 tomate (juntar a gosto) | 1 cebola (juntar a gosto) | 1 pitada de pimenta (a gosto) | 1 pitada de sal;Cortar os abacates ao meio | Abrir | E tirar o caroço | Fazer cortes cruzados | Esvaziar o conteúdo com a ajuda de uma colher | Triturar os 2 abacates | Cortar o tomate em pedaços pequenos | Cortar a cebola em pedaços pequenos | Juntar todos os ingredientes numa taça: abacates triturados, cebola, tomate, sal, pimenta e um pouco de limão. | Misturar e está pronto !;Sem glúten | Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/guacamole-rapido--302166p493617.webp
4;Folhados de queijo e presunto (travesseiros);Entrada;Muito Fácil;35 min;1599 Kcal;4.54;1 massa folhada (retangular) | 4 col. de sopa de crème fraîche (ou requeijão) | 2 fatias de presunto (fiambre) | 100 gr de queijo (usamos emmental ralado) | 1 ovo;Corte a massa folhada em 8 retângulos do mesmo tamanho. Passe/barre o crème fraîche (ou requeijão) por cima de 4 retângulos da massa. | Junte 1/2 da fatia do presunto/fiambre e o queijo ralado. | Coloque agora por cima um outro retângulo da massa. Para fechar, sele as bordas com a ajuda de um garfo ( o formato fica igual a de um pastel de feira) | Pincele com ovo batido. Para finalizar, por cima de cada folhado, faça ranhuras (veja foto). Serve para decoração. | Leve ao forno por 20 minutos a 180°C. | Prepare a salada que os folhados já estão prontos. Bom apetite :D;;https://pt.petitchef.com/imgupl/recipe/folhados-de-queijo-e-presunto-travesseiros--454935p705945.webp
5;Crocmuffin de queijo, fiambre e ovo;Entrada;Muito Fácil;20 min;400 Kcal;4.45;Pão de forma sem crosta | Natas (creme de leite ou queijo creme) | Fiambre | Ovos | Sal | Pimenta | Queijo gruyére ralado (ou outro que prefira);Coloque o pão na forma de muffin, como se fosse um ninho. | Coloque uma colher de sopa de natas por cima e o fiambre, cortado em quadrados. | Parta um ovo em cada muffin e tempere com sal e pimenta a gosto. | Por último, polvilhar com queijo ralado. | E leve ao forno de 15 a 20 minutos a 180ºC. O tempo de forno vai depender de como quer a gema, se muito ou pouco cozida. | Pronto para comer. Acompanhe com uma salada.;Sem açúcar;https://pt.petitchef.com/imgupl/recipe/croc-muffin-de-queijo-fiambre-e-ovo--441845p719122.webp
6;Ovos mexidos;Entrada;Muito Fácil;18 min;813 Kcal;4.31;4 ovos | sal | noz moscada | manteiga | natas (opcional) (creme de leite opcional);Na frigideira, derreta a manteiga no fogo baixo. Bata os ovos com sal como se fosse omelete. Despeje/verta na frigideira ( já com a manteiga derretida). | Baixe o fogo ainda mais. Com uma espátula, misture regularmente. | Com o tempo, os ovos começam a se cozinhar. (se desejar, é nesta etapa que utiliza-se as natas/creme de leite). | Não cozinhe até o final. Quando os ovos se desprendem do fundo da frigideira, tire-os do fogo. | Coloque-os no prato de servir. Polvilhe com noz moscada. | Ovos mexidos prontinhos. Sirva-os quente.;Sem glúten | Vegetariano | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/ovos-mexidos--456548p710341.webp
7;Ovos mimosa em 4 versões irresistíveis: entrada criativa, fácil e cheia de sabor;Entrada;Muito Fácil;35 min;224 Kcal;4.6;8 ovos | 3 col. sopa de maionese (ou iogurte natural) | 4 ramos de cebolinho (a) | 1/4 de abacate | 30 gr de atum | 1 col. chá de páprica (colorau);Cozinhe os ovos em água fervente durante 10 minutos. Deixe-os arrefecer (esfriar), retire as cascas e corte os ovos em 2 (sentido vertical). Retire agora todas as gemas dos ovos e reserve 1 (uma) delas. | Com as outras 7 gemas cozidas, coloque a maionese e misture com a ajuda de um garfo para esmagar bem. | Sabor cebolinho (a): Pegue agora 1 (uma) colher de sopa desta mistura e em outra tigela, junte com os cebolinhos (as) picadas. Misture bem. Com a ajuda de um saco confeiteiro recheie essa nova mistura nas claras (total de 4 metades das claras). | Raspe ou esmigalhe a gema que deixamos reservado por cima do ovo recheado, para dar um efeito mimosa. | Sabor abacate: Retire 1 col. sopa da mistura (gema/maionese) e junte o abacate. Misture bem com o garfo sempre esmagando o abacate. | Novamente com a ajuda do saco confeiteiro, pegue essa nova mistura e recheie as claras (4 metades das claras). Se preferir, use um bico estrela para dar um bonito visual nos ovos. | Sabor Atum: Mesmo processo: 1 colher de sopa da mistura gema/maionese e junte o atum. Com o garfo, misture bem. Recheie 4 metade das claras. | Sabor páprica/colorau: Com o resto da mistura (gema/maionese) junte a páprica/colorau a gosto. Recheie o restante das claras. Polvilhe com a páprica/colorau. | Ficou pronto. O que achou da receita? Bom apetite!!!;Sem glúten | Sem lactose | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/ovos-mimosa-em-4-versoes-irresistiveis-entrada-criativa-facil-e-cheia-de-sabor--455724p708045.webp
8;Bolinhos / pastéis de bacalhau;Entrada;Médio;1 h 40 m;531 Kcal;4.48;400 g de bacalhau demolhado | 800 g de batatas | 2 ovos | 4 c. de sopa de farinha | 1 dente de alho | 3 raminhos de salsa | óleo para fritar | sal | pimenta;Cozer o bacalhau em água fervente por 10 minutos. | Cozer as batatas em água fervente até estarem cozidas. | Uma vez frias, esmagar as batatas em puré/ê e juntar os ovos , a salsa e o dente de alho picado. Misturar tudo. | Quando o peixe arrefecer, cortar em pedacinhos e retirar bem as espinhas. Juntar à mistura de batatas, juntar a farinha e misturar. | Com a ajuda de duas colheres de sopa, forme bolinhos com a preparação. Se preferir faça com as mãos. | Fritar os bolinhos em óleo quente. Frite todos os lados dos bolinhos. Retire da fritura e coloque sobre papel absorvente para retirar o excesso de óleo. | Deixe arrefecer um pouco e sirva morno ou frio.;Sem lactose | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/bolinhos-pasteis-de-bacalhau--451896p699601.webp
9;Gaspacho andaluz;Entrada;Muito Fácil;20 min;75 Kcal;4.29;1 kg de tomates | 1 pepino grande | 1/3 de pimento / pimentão verde | 200 ml água | 1 dente de alho | 2 colheres de sopa de azeite (de oliva) | sal a gosto | vinagre a gosto;Lavar e cortar os tomates, o pepino e o pimento/pimentão. (Opcional deixar ou retirar a pele do pepino, a única diferença será na cor final do gaspacho que ficará mais claro ou mais escuro) | Descascar e cortar o alho pela metade. Retirar a semente do centro com a ponta de uma faca. | Colocar no liquidificador ou picadora convencional, o pimento/pimentão, o pepino e metade dos tomates. Triturar. | Incorporar o resto dos tomates e voltar a triturar. | Juntar o alho. o azeite, o sal, o vinagre e metade da água. Triturar novamente. | Passar o gaspacho por um coador para retirar as sementes e os restos de pele de tomate que tenham ficado. | Por último, juntar o resto da água, retificar de sal ou vinagre, misturar bem e tapar com filme transparente durante 1 hora. Depois só tem de servir numa taça (para comer à colher ou beber) Opcional, juntar pepino e tomate picado por cima e um fio de azeite. E já está ! pronto para ser degustado! :);Sem glúten | Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/gaspacho-andaluz--372861p599577.webp
10;Cheesecakes salgados de salmão;Entrada;Muito Fácil;25 min;428 Kcal;4.24;6 fatias de salmão fumado | 300 g de queijo creme (tipo Philadelphia) | 250 g de ricota / requeijão | 100 g de biscoitos de água e sal | 80 g de manteiga | sal | pimenta | aneto / endro / dill | cebolinho/a;Triturar os biscoitos de água e sal e juntar a manteiga. | Coloque papel vegetal / manteiga por cima de um tabuleiro (que mais tarde irá colocar no frigorífico/geladeira), e disponha as formas em círculo sem fundo por cima. Coloque um pouco de bolachas trituradas no fundo de cada círculo por forma a fazer uma base. | Misture o queijo creme, a ricota e 3 fatias de salmão que picou ou cortou em pedacinhos. Tempere com sal, pimenta e as ervas. | Colocar esta preparação por cima das bases de biscoito, alisar o topo e levar ao frigorífico/geladeira por no mínimo 6 horas. | Com uma forma em círculo, corte círculos nas 3 fatias de salmão restantes. | Retire os cheesecakes do frio, desmolde e coloque um círculo de salmão por cima do creme. Decore com ervas e sirva.;Sem glúten | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/cheesecakes-salgados-de-salmao--451709p699136.webp
