titulo;categoria;dificuldade;tempo_total;calorias;rating;ingredientes;passos;criterios
Creme de abóbora;Entrada;Médio;40 min;240 Kcal;4.49;300 g de abóbora | 2 batatas (médias) | 200 ml de natas / creme de leite | 2 colheres de sopa de óleo de girassol | 1 colher (de café) de pimenta | 1 colher (de café) de sal | 1/2 alho francês (alho-poró);Cortar o alho francês/poró e as batatas. | Cortar a abóbora pela metade e retirar as sementes. Cortar em cubos. | Ligar o lume (médio). Numa pequena panela, cozer o óleo de girassol e o alho francês/poró. Juntar as batatas, a abóbora, sal, pimenta e mexer durante 3 minutos. | Juntar água até que o todo esteja coberto. Colocar a tampa e deixar cozer durante 30 minutos. Para verificar a cozedura dos legumes, pique-os com uma faca. Eles devem estar tenros. | Verter a mistura num liquidificador. Mixe. Junte as natas. Mixe de novo e já está!;Sem glúten | Vegetariano | Sem açúcar | Sem ovo
Guacamole rápido;Entrada;Muito Fácil;10 min;67 Kcal;4.46;2 abacates | 1 limão (juntar a gosto) | 1 tomate (juntar a gosto) | 1 cebola (juntar a gosto) | 1 pitada de pimenta (a gosto) | 1 pitada de sal;Cortar os abacates ao meio | Abrir | E tirar o caroço | Fazer cortes cruzados | Esvaziar o conteúdo com a ajuda de uma colher | Triturar os 2 abacates | Cortar o tomate em pedaços pequenos | Cortar a cebola em pedaços pequenos | Juntar todos os ingredientes numa taça: abacates triturados, cebola, tomate, sal, pimenta e um pouco de limão. | Misturar e está pronto !;Sem glúten | Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo
Folhados de queijo e presunto (travesseiros);Entrada;Muito Fácil;35 min;1599 Kcal;4.59;1 massa folhada (retangular) | 4 col. de sopa de crème fraîche (ou requeijão) | 2 fatias de presunto (fiambre) | 100 gr de queijo (usamos emmental ralado) | 1 ovo;Corte a massa folhada em 8 retângulos do mesmo tamanho. Passe/barre o crème fraîche (ou requeijão) por cima de 4 retângulos da massa. | Junte 1/2 da fatia do presunto/fiambre e o queijo ralado. | Coloque agora por cima um outro retângulo da massa. Para fechar, sele as bordas com a ajuda de um garfo ( o formato fica igual a de um pastel de feira) | Pincele com ovo batido. Para finalizar, por cima de cada folhado, faça ranhuras (veja foto). Serve para decoração. | Leve ao forno por 20 minutos a 180°C. | Prepare a salada que os folhados já estão prontos. Bom apetite :D;
Crocmuffin de queijo, fiambre e ovo;Entrada;Muito Fácil;20 min;400 Kcal;4.45;Pão de forma sem crosta | Natas (creme de leite ou queijo creme) | Fiambre | Ovos | Sal | Pimenta | Queijo gruyére ralado (ou outro que prefira);Coloque o pão na forma de muffin, como se fosse um ninho. | Coloque uma colher de sopa de natas por cima e o fiambre, cortado em quadrados. | Parta um ovo em cada muffin e tempere com sal e pimenta a gosto. | Por último, polvilhar com queijo ralado. | E leve ao forno de 15 a 20 minutos a 180ºC. O tempo de forno vai depender de como quer a gema, se muito ou pouco cozida. | Pronto para comer. Acompanhe com uma salada.;Sem açúcar
Ovos mexidos;Entrada;Muito Fácil;18 min;813 Kcal;4.31;4 ovos | sal | noz moscada | manteiga | natas (opcional) (creme de leite opcional);Na frigideira, derreta a manteiga no fogo baixo. Bata os ovos com sal como se fosse omelete. Despeje/verta na frigideira ( já com a manteiga derretida). | Baixe o fogo ainda mais. Com uma espátula, misture regularmente. | Com o tempo, os ovos começam a se cozinhar. (se desejar, é nesta etapa que utiliza-se as natas/creme de leite). | Não cozinhe até o final. Quando os ovos se desprendem do fundo da frigideira, tire-os do fogo. | Coloque-os no prato de servir. Polvilhe com noz moscada. | Ovos mexidos prontinhos. Sirva-os quente.;Sem glúten | Vegetariano | Sem açúcar
Bolinhos / pastéis de bacalhau;Entrada;Médio;1 h 40 m;531 Kcal;4.44;400 g de bacalhau demolhado | 800 g de batatas | 2 ovos | 4 c. de sopa de farinha | 1 dente de alho | 3 raminhos de salsa | óleo para fritar | sal | pimenta;Cozer o bacalhau em água fervente por 10 minutos. | Cozer as batatas em água fervente até estarem cozidas. | Uma vez frias, esmagar as batatas em puré/ê e juntar os ovos , a salsa e o dente de alho picado. Misturar tudo. | Quando o peixe arrefecer, cortar em pedacinhos e retirar bem as espinhas. Juntar à mistura de batatas, juntar a farinha e misturar. | Com a ajuda de duas colheres de sopa, forme bolinhos com a preparação. Se preferir faça com as mãos. | Fritar os bolinhos em óleo quente. Frite todos os lados dos bolinhos. Retire da fritura e coloque sobre papel absorvente para retirar o excesso de óleo. | Deixe arrefecer um pouco e sirva morno ou frio.;Sem glúten | Sem lactose | Sem açúcar
Ovos mimosa em 4 versões irresistíveis: entrada criativa, fácil e cheia de sabor;Entrada;Muito Fácil;35 min;224 Kcal;4.69;8 ovos | 3 col. sopa de maionese (ou iogurte natural) | 4 ramos de cebolinho (a) | 1/4 de abacate | 30 gr de atum | 1 col. chá de páprica (colorau);Cozinhe os ovos em água fervente durante 10 minutos. Deixe-os arrefecer (esfriar), retire as cascas e corte os ovos em 2 (sentido vertical). Retire agora todas as gemas dos ovos e reserve 1 (uma) delas. | Com as outras 7 gemas cozidas, coloque a maionese e misture com a ajuda de um garfo para esmagar bem. | Sabor cebolinho (a): Pegue agora 1 (uma) colher de sopa desta mistura e em outra tigela, junte com os cebolinhos (as) picadas. Misture bem. Com a ajuda de um saco confeiteiro recheie essa nova mistura nas claras (total de 4 metades das claras). | Raspe ou esmigalhe a gema que deixamos reservado por cima do ovo recheado, para dar um efeito mimosa. | Sabor abacate: Retire 1 col. sopa da mistura (gema/maionese) e junte o abacate. Misture bem com o garfo sempre esmagando o abacate. | Novamente com a ajuda do saco confeiteiro, pegue essa nova mistura e recheie as claras (4 metades das claras). Se preferir, use um bico estrela para dar um bonito visual nos ovos. | Sabor Atum: Mesmo processo: 1 colher de sopa da mistura gema/maionese e junte o atum. Com o garfo, misture bem. Recheie 4 metade das claras. | Sabor páprica/colorau: Com o resto da mistura (gema/maionese) junte a páprica/colorau a gosto. Recheie o restante das claras. Polvilhe com a páprica/colorau. | Ficou pronto. O que achou da receita? Bom apetite!!!;Sem glúten | Sem lactose | Sem açúcar
Salada de batata, atum e tomate;Entrada;Muito Fácil;15 min;325 Kcal;4.34;2 batatas | 1 tomate | 3 col. sopa milho (em conserva) | 2 col. chá alcaparra | 1 lata escorrida (140gr) de atum | sal | pimenta | vinagre | azeite | salsa;Descasque e corte as batatas em quadrados grandes. Leve ao fogo para cozinhar por cerca de 10 min (verifique o cozimento, a batata deverá estar cozida e firme, al dente). Deixe amornar (ou se preferir, esfriar completamente). | Na tigela, coloque as batatas cozidas, os tomates cortados em pedaços, o milho, as alcaparras e o atum levemente esfarelado. Tempere com sal, pimenta, azeite e vinagre. Misture. | Por último, polvilhe com salsa. Está pronto!;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Tártaro (tartar) de presunto e melão;Entrada;Muito Fácil;20 min;214 Kcal;4.79;100 gr de presunto cru (presunto parma) | 2 tomates | 1/4 de cebola | 1 fatia de melão | cebolinha | azeite de oliva | vinagre;Corte o presunto em pedaços bem pequenos. Faça o mesmo com a cebola. | Tire a pele dos tomates e corte-os em pequenos cubos. | Misture agora o presunto, a cebola, o tomate e a cebolinha picada. Acrescente 1 c. sopa de azeite de oliva e 1 c. sopa de vinagre. Misture novamente. | Para dar forma ao tártaro, use uma forma pequena redonda ou faça a montagem diretamente sobre o prato. | Corte agora a fatia do melão em finas lâminas e coloque-o por cima da tarte. | Tártaro de presunto e melão prontíssimo. Bom apetite!!!;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Tabule oriental sem cozimento: prático e saudável;Entrada;Muito Fácil;15 min;137 Kcal;4.5;150 gr de sêmola (cuscuz grãos médios) | 2 tomates | 1/2 cebola | 100 ml sumo de limão (suco de 2 limões) | 60 ml azeite de oliva | 1 maço pequeno de salsa | 1 maço pequeno de hortelã | sal | pimenta a gosto;Em uma vasilha, coloque a sêmola/cuscuz, o sumo/suco de limão e o azeite de oliva. | Junte os tomates em cubos, as cebolas e as ervas picadas. Sal e pimenta a gosto. | Misture bem e refrigerar por 3 horas. Antes de servir, misture novamente. | Seu tabulé está pronto.;Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo
