titulo;categoria;dificuldade;tempo_total;calorias;rating;ingredientes;passos;criterios
Creme de abóbora;Entrada;Médio;40 min;240 Kcal;4.49;300 g de abóbora | 2 batatas (médias) | 200 ml de natas / creme de leite | 2 colheres de sopa de óleo de girassol | 1 colher (de café) de pimenta | 1 colher (de café) de sal | 1/2 alho francês (alho-poró);Cortar o alho francês/poró e as batatas. | Cortar a abóbora pela metade e retirar as sementes. Cortar em cubos. | Ligar o lume (médio). Numa pequena panela, cozer o óleo de girassol e o alho francês/poró. Juntar as batatas, a abóbora, sal, pimenta e mexer durante 3 minutos. | Juntar água até que o todo esteja coberto. Colocar a tampa e deixar cozer durante 30 minutos. Para verificar a cozedura dos legumes, pique-os com uma faca. Eles devem estar tenros. | Verter a mistura num liquidificador. Mixe. Junte as natas. Mixe de novo e já está!;Sem glúten | Vegetariano | Sem açúcar | Sem ovo
Folhado de camembert;Entrada;Fácil;35 min;528 Kcal;4.56;1 queijo Camembert | 1 rolo de massa folhada | 1 maçã | 1 ovo | 2 colher de sopa de mel | Ervas aromáticas (de Provence) | Pimenta;Descasque as maçãs, corte em fatias e coloque no microondas por 1 minuto e 30 segundos. | Corte o queijo pelo meio. | Coloque as fatias da maçã por cima de uma das metades. | Junte o mel, pimenta e ervas de Provence. | Coloque a outra metade do queijo por cima, para fechar. Cubra o todo com papel de alumínio e deixe repousar no frigorífico / geladeira por 15 minutos. | Estenda a massa folhada sobre uma superfície lisa, coloque o queijo no centro. | Cubra o queijo com a massa folhada. | Pincele com ovo e ponha no forno durante 20 minutos a 190ºC. Pronto !;Vegetariano
Guacamole rápido;Entrada;Fácil;10 min;67 Kcal;4.46;2 abacates | 1 limão (juntar a gosto) | 1 tomate (juntar a gosto) | 1 cebola (juntar a gosto) | 1 pitada de pimenta (a gosto) | 1 pitada de sal;Cortar os abacates ao meio | Abrir | E tirar o caroço | Fazer cortes cruzados | Esvaziar o conteúdo com a ajuda de uma colher | Triturar os 2 abacates | Cortar o tomate em pedaços pequenos | Cortar a cebola em pedaços pequenos | Juntar todos os ingredientes numa taça: abacates triturados, cebola, tomate, sal, pimenta e um pouco de limão. | Misturar e está pronto !;Sem glúten | Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo
Folhados de queijo e presunto (travesseiros);Entrada;Fácil;35 min;1599 Kcal;4.59;1 massa folhada (retangular) | 4 col. de sopa de crème fraîche (ou requeijão) | 2 fatias de presunto (fiambre) | 100 gr de queijo (usamos emmental ralado) | 1 ovo;Corte a massa folhada em 8 retângulos do mesmo tamanho. Passe/barre o crème fraîche (ou requeijão) por cima de 4 retângulos da massa. | Junte 1/2 da fatia do presunto/fiambre e o queijo ralado. | Coloque agora por cima um outro retângulo da massa. Para fechar, sele as bordas com a ajuda de um garfo ( o formato fica igual a de um pastel de feira) | Pincele com ovo batido. Para finalizar, por cima de cada folhado, faça ranhuras (veja foto). Serve para decoração. | Leve ao forno por 20 minutos a 180°C. | Prepare a salada que os folhados já estão prontos. Bom apetite :D;
Crocmuffin de queijo, fiambre e ovo;Entrada;Fácil;20 min;400 Kcal;4.45;Pão de forma sem crosta | Natas (creme de leite ou queijo creme) | Fiambre | Ovos | Sal | Pimenta | Queijo gruyére ralado (ou outro que prefira);Coloque o pão na forma de muffin, como se fosse um ninho. | Coloque uma colher de sopa de natas por cima e o fiambre, cortado em quadrados. | Parta um ovo em cada muffin e tempere com sal e pimenta a gosto. | Por último, polvilhar com queijo ralado. | E leve ao forno de 15 a 20 minutos a 180ºC. O tempo de forno vai depender de como quer a gema, se muito ou pouco cozida. | Pronto para comer. Acompanhe com uma salada.;Sem açúcar
Ovos mexidos;Entrada;Fácil;18 min;813 Kcal;4.31;4 ovos | sal | noz moscada | manteiga | natas (opcional) (creme de leite opcional);Na frigideira, derreta a manteiga no fogo baixo. Bata os ovos com sal como se fosse omelete. Despeje/verta na frigideira ( já com a manteiga derretida). | Baixe o fogo ainda mais. Com uma espátula, misture regularmente. | Com o tempo, os ovos começam a se cozinhar. (se desejar, é nesta etapa que utiliza-se as natas/creme de leite). | Não cozinhe até o final. Quando os ovos se desprendem do fundo da frigideira, tire-os do fogo. | Coloque-os no prato de servir. Polvilhe com noz moscada. | Ovos mexidos prontinhos. Sirva-os quente.;Sem glúten | Vegetariano | Sem açúcar
Gaspacho andaluz;Entrada;Fácil;20 min;75 Kcal;4.29;1 kg de tomates | 1 pepino grande | 1/3 de pimento / pimentão verde | 200 ml água | 1 dente de alho | 2 colheres de sopa de azeite (de oliva) | sal a gosto | vinagre a gosto;Lavar e cortar os tomates, o pepino e o pimento/pimentão. (Opcional deixar ou retirar a pele do pepino, a única diferença será na cor final do gaspacho que ficará mais claro ou mais escuro) | Descascar e cortar o alho pela metade. Retirar a semente do centro com a ponta de uma faca. | Colocar no liquidificador ou picadora convencional, o pimento/pimentão, o pepino e metade dos tomates. Triturar. | Incorporar o resto dos tomates e voltar a triturar. | Juntar o alho. o azeite, o sal, o vinagre e metade da água. Triturar novamente. | Passar o gaspacho por um coador para retirar as sementes e os restos de pele de tomate que tenham ficado. | Por último, juntar o resto da água, retificar de sal ou vinagre, misturar bem e tapar com filme transparente durante 1 hora. Depois só tem de servir numa taça (para comer à colher ou beber) Opcional, juntar pepino e tomate picado por cima e um fio de azeite. E já está ! pronto para ser degustado! :);Sem glúten | Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo
Bolinhos / pastéis de bacalhau;Entrada;Médio;1 h 40 m;531 Kcal;4.44;400 g de bacalhau demolhado | 800 g de batatas | 2 ovos | 4 c. de sopa de farinha | 1 dente de alho | 3 raminhos de salsa | óleo para fritar | sal | pimenta;Cozer o bacalhau em água fervente por 10 minutos. | Cozer as batatas em água fervente até estarem cozidas. | Uma vez frias, esmagar as batatas em puré/ê e juntar os ovos , a salsa e o dente de alho picado. Misturar tudo. | Quando o peixe arrefecer, cortar em pedacinhos e retirar bem as espinhas. Juntar à mistura de batatas, juntar a farinha e misturar. | Com a ajuda de duas colheres de sopa, forme bolinhos com a preparação. Se preferir faça com as mãos. | Fritar os bolinhos em óleo quente. Frite todos os lados dos bolinhos. Retire da fritura e coloque sobre papel absorvente para retirar o excesso de óleo. | Deixe arrefecer um pouco e sirva morno ou frio.;Sem glúten | Sem lactose | Sem açúcar
Bacalhau com natas à portuguesa;Prato Principal;Médio;1 h 25 m;629 Kcal;4.53;4 posta(s) de bacalhau demolhado | 6 dl (600 ml) leite | 1 cebola (s) cortada(s) em rodelas | azeite | 2 c. sopa farinha | 1 kg batata (s) | noz moscada | 2 dl (200 ml) de natas (creme de leite) | queijo ralado | q.b. sal | q.b. Pimenta;Coza as postas de bacalhau em leite. | Corte a cebola em rodelas finas e refogue em azeite até estar mole e transparente. | Escorra o bacalhau e desfaça-o em lascas e junte à cebolada. Deixe refogar lentamente. Polvilhe com farinha, mexa e regue com leite coado, onde cozeu antes o bacalhau. Deixe engrossar, mexendo de vez em quando. | Descasque e corte as batatas em cubos e frite em óleo não quente, de forma a deixá-las mais cozidas que fritas. Escorra as batatas e junte-as ao bacalhau. Tempere com sal, pimenta e noz-moscada. | Deite tudo num tabuleiro untado de ir ao forno, espalhe por cima as natas e polvilhe com queijo ralado. Leve ao forno até estar gratinado. Sirva com uma salada fresca de alface e tomate.;Vegan | Vegetariano | Sem açúcar | Sem ovo
Tortilha de batatas com cebola;Prato Principal;Médio;40 min;231 Kcal;4.44;7 ovos | 1 kg de batatas | 50 ml azeite (de oliva) | sal a gosto | 1 cebola;Cortar a cebola. | Cortar as batatas, lavá-las e juntar-lhes o sal. Mexer bem. | Cozer a cebola na frigideira a fogo médio. E juntar as batatas de seguida. | Quando as batatas estiverem douradas e se puderem partir facilmente, juntamos os ovos préviamente batidos. | Cozinhar a parte de baixo da Tortilha. Quando vir que está cozido, vire-a com a ajuda de uma tampa de panela ou algo plano. Cozinhe o outro lado até que doure. E já está !;Sem glúten | Vegetariano | Sem lactose | Sem açúcar
