data_finalizacao;id;titulo;categoria;dificuldade;tempo_total;tempo_minutos;calorias;rating_dataset;criterios;ingredientes;passos;avaliacao_utilizador
2026-01-09T15:32:59;108;Croquete de peixe com limão assado no forno;entrada;muito fácil;20 min;20;92;5.0;sem glúten|sem lactose|sem açúcar;500 gr de filé de pescada (sem espinhos)|1 cebola|50 gr de limão confitado|1 dente alho|1 col. sopa coentro (picado)|1 col. sopa cominho|pimenta;No mixer, misture a cebola, o alho e a polpa do limão confitado, cortado em pedaços.|Acrescente o peixe e misture novamente.|Tempere com pimenta, coentro e cominho. Bata novamente.|Com a ajuda de 2 colheres de sopa, forme os croquetes. Coloque-os então sobre a assadeira já forrada com papel manteiga (papel vegetal).|Leve ao forno por cerca de 10 a 15 minutos a 200°C.|Está pronto!;1
2026-01-09T15:34:07;108;Croquete de peixe com limão assado no forno;entrada;muito fácil;20 min;20;92;5.0;sem glúten|sem lactose|sem açúcar;500 gr de filé de pescada (sem espinhos)|1 cebola|50 gr de limão confitado|1 dente alho|1 col. sopa coentro (picado)|1 col. sopa cominho|pimenta;No mixer, misture a cebola, o alho e a polpa do limão confitado, cortado em pedaços.|Acrescente o peixe e misture novamente.|Tempere com pimenta, coentro e cominho. Bata novamente.|Com a ajuda de 2 colheres de sopa, forme os croquetes. Coloque-os então sobre a assadeira já forrada com papel manteiga (papel vegetal).|Leve ao forno por cerca de 10 a 15 minutos a 200°C.|Está pronto!;1
2026-01-09T17:04:03;399;Frittata de cebola, a omelete italiana rápida no preparo!;prato principal;muito fácil;17 min;17;257;4.56;sem glúten|vegetariano|sem açúcar;4 ovos|1 cebola (tamanho médio)|15 g de parmesão ralado|azeite|sal|pimenta;Descasque e corte a cebola em rodelas bem finas com a ajuda da mandoline ou faca.|Aqueça a frigideira com um pouco de azeite e acrescente a cebola em rodelas. Deixe refogar por 10 minutos no fogo médio até ficarem translúcidas (cerca de 10 minutos).|Enquanto isso, bata os ovos e acrescente o parmesão, sal e pimenta.|Quando as rodelas de cebola ficarem translúcidas, distribua-as uniformente na frigideira e coloque a mistura dos ovos batidos por cima. Tampe e no fogo baixo/médio, deixe cozinhar por cerca de 7 minutos.|Verifique se as bordas desgrudam facilmente e vire o lado da fritada.|Agora sem tampa, deixe ainda cozinhar no fogo baixo, entre 4 a 5 minutos.|Bom apetite!;5
2026-01-09T20:30:38;226;Caldo verde;entrada;médio;1 h 30 m;90;519;4.42;sem glúten|sem açúcar;4 batatas grandes descascadas e cortadas em cubinhos|150g de couve cortada bem fininha|100g de bacon cortado muito miudinho (acrescido à receita pelo marido)|chouriço em fatias muito finas|1 cebola picada bem miudinho|2 dentes de alho picadinhos|azeite|sal|pimenta;Em uma panela, coloque as batatas e cubra-as com água. Acrescente sal e leve para cozer. Enquanto as batatas cozem, coloque um fio de azeite numa frigideira. Junte a cebola, o alho e o bacon e frite. Acrescente a couve e deixe refogar, acrescente um pouco de sal e pimenta. Tire do fogo e reserve. Faça um creme com a batata, em seu caldo, com a varinha mágica (mixer) ou no liquidificador. Acrescente a couve refogada e o chouriço ao creme de batatas. Deixe apurar em fogo baixo, por alguns minutos. Sirva bem quentinho, acompanhado de um pãozinho acabado de sair do forno!;
2026-01-09T20:54:05;69;Salada de melão colorida;entrada;muito fácil;15 min;15;1351;4.67;sem glúten|sem açúcar|sem ovo;1 melão cantaloupe|1 pedaço de melancia|6 bolas de mozzarella fresca|1/3 pepino|6 tomates cereja|2 fatias de presunto serrano (presunto cru)|manjericão fresco|sal|pimenta|azeite;Corte o melão ao meio. Retire as sementes e fibras. Com a ajuda da colher parisiense, faça bolas do melão.(veja foto). Reserve as cascas.|Faça também as bolas da melancia (cerca de 8 unidades). Corte o pepino em pequenos pedaços, o tomate cereja em dois, o presunto em tiras e pique o manjericão.|Em uma tigela, coloque as bolas de melão, tomates, pepino, mozzarella, melancia, presunto, manjericão, sal, pimenta e azeite. Misture.|Agora é só verter/despejar a mistura nas metades do melão reservadas que servirão como tigela. Está pronto!;
2026-01-09T20:56:43;108;Croquete de peixe com limão assado no forno;entrada;muito fácil;20 min;20;92;5.0;sem glúten|sem lactose|sem açúcar;500 gr de filé de pescada (sem espinhos)|1 cebola|50 gr de limão confitado|1 dente alho|1 col. sopa coentro (picado)|1 col. sopa cominho|pimenta;No mixer, misture a cebola, o alho e a polpa do limão confitado, cortado em pedaços.|Acrescente o peixe e misture novamente.|Tempere com pimenta, coentro e cominho. Bata novamente.|Com a ajuda de 2 colheres de sopa, forme os croquetes. Coloque-os então sobre a assadeira já forrada com papel manteiga (papel vegetal).|Leve ao forno por cerca de 10 a 15 minutos a 200°C.|Está pronto!;
2026-01-09T20:57:37;108;Croquete de peixe com limão assado no forno;entrada;muito fácil;20 min;20;92;5.0;sem glúten|sem lactose|sem açúcar;500 gr de filé de pescada (sem espinhos)|1 cebola|50 gr de limão confitado|1 dente alho|1 col. sopa coentro (picado)|1 col. sopa cominho|pimenta;No mixer, misture a cebola, o alho e a polpa do limão confitado, cortado em pedaços.|Acrescente o peixe e misture novamente.|Tempere com pimenta, coentro e cominho. Bata novamente.|Com a ajuda de 2 colheres de sopa, forme os croquetes. Coloque-os então sobre a assadeira já forrada com papel manteiga (papel vegetal).|Leve ao forno por cerca de 10 a 15 minutos a 200°C.|Está pronto!;2
2026-01-09T22:33:10;528;Spiro dogs, uma nova versão do cachorro quente (hot-dogs);prato principal;médio;2 h 20 m;140;792;4.6;vegan;280 gr de farinha de trigo|1 col. sopa de açúcar|1 col. chá de sal|10 gr de fermento padeiro fresco|90 ml de leite|60 ml de água|30 gr de manteiga (margarina)|6 salsichas (de cachorro quente)|mostarda|ketchup|leite;Na tigela da batedeira de pão, coloque a farinha, o sal (na lateral) e o açúcar. Faça um leve buraco no centro e coloque o fermento esfarelado (que não deverá encostar no sal). Junte a água e o leite e bata na velocidade média por alguns minutos.|Em seguida, junte a manteiga aos poucos e em pedaços, sem deixar de bater. Assim que a manteiga incorporar a massa, deixe-a descansando na temperatura ambiente por 1 hora.|Passado esse tempo, divida a massa em 6 partes iguais. Numa superfície enfarinhada, abra em retângulos (cada parte) com uma largura um pouco maior que a largura da salsicha.|Numa borda do retângulo (sentido comprimento), passe um pouco de mostarda e de ketchup.|Coloque então uma salsicha e ferme as bordas antes de enrolar completamente (veja foto) e vá enrolando. Sele bem as bordas. Se necessário, use um pouco de água para fechar bem.|Coloque-os sobre a forma já forrada com papel manteiga/vegetal. Pincele com um pouco de leite para dourar. Deixe ainda descansando durante 1 hora a temperatura ambiente.|Leve ao forno por 20 minutos a 180°C.|Chama a garotada que o hot-dog está na mesa.;
2026-01-10T15:36:20;107;Flor de abobrinha frita, a receita italiana feita com água gasosa!;entrada;muito fácil;7 min;7;469;5.0;sem ovo|vegetariano|sem lactose|sem açúcar;10 flores de curgete (abobrinha)|1 ovo|70 gr de farinha de trigo|130 ml água gasosa (bem fria)|1 col. sopa azeite|sal;Limpe as flores assim: Retire o pistilo presente no meio e a parte do caule . Passe-os na água corrente e seque-os com papel toalha .|Em uma tigela prepare a massa: bata os ovos e acrescente a farinha, a água gasosa e por último o azeite . Misture bem até obter uma pasta lisa e homogênea .|Aqueça o óleo de fritar. Quando tiver quente, mergulhe as flores na massa e em seguida, frite-as. Use colher de sopa ou garfo para não se queimar.|Não esqueça de virar os lados para deixar homogêneo. Escorra-as com a escumadeira antes de colocá-las em um prato coberto com papel toalha.|Tempere-as com sal, enquanto estão quentes. Já pode servir. Bom apetite!;
2026-01-10T16:34:21;925;Waffles super proteicos com whey;sobremesa;muito fácil;8 min;8;125;5.0;vegetariano|sem açúcar;100 g de farinha de trigo|2 ovos|1 col. de chá de fermento em pó|180 ml de leite (de vaca ou vegetal)|35 g de whey baunilha (ou outro sabor);Coloque todos os ingredientes no mixer.|Misture até ficar homogêneo.|Unte a forma de waffle.|Despeje a massa na forma de waffle. Cozinhe os waffles por cerca de 3 minutos (dependendo da potência da sua máquina de waffles).|Retire os waffles quando estiverem dourados.|Está pronto. Bom apetite!;2
